Mode,Class weight,Precision,Recall,F1
fixed_0.5,None (1:1),0.7021814732848561,0.4487321951712294,0.5475500770416024
fixed_0.5,Mild (1:2),0.7021814732848561,0.4487321951712294,0.5475500770416024
fixed_0.5,Moderate (1:3),0.7021814732848561,0.4487321951712294,0.5475500770416024
fixed_0.5,Balanced (auto),0.7021814732848561,0.4487321951712294,0.5475500770416024
fixed_0.5,Strong (1:5),0.7021814732848561,0.4487321951712294,0.5475500770416024
fixed_0.5,Aggressive (1:7),0.23272051908971225,1.0,0.3775722322875942
f1_tuned,None (1:1),0.7021814732848561,0.4487321951712294,0.5475500770416024
f1_tuned,Mild (1:2),0.7021814732848561,0.4487321951712294,0.5475500770416024
f1_tuned,Moderate (1:3),0.7021814732848561,0.4487321951712294,0.5475500770416024
f1_tuned,Balanced (auto),0.7021814732848561,0.4487321951712294,0.5475500770416024
f1_tuned,Strong (1:5),0.7021814732848561,0.4487321951712294,0.5475500770416024
f1_tuned,Aggressive (1:7),0.7021814732848561,0.4487321951712294,0.5475500770416024
