Model,Strategy,Mode,Threshold,CV Precision,CV Recall,F1,Precision,Recall,Accuracy,ROC-AUC,Average Precision,Note,Variant
Logistic Regression,F1-optimal (screening),f1,0.409,0.6997,0.452,0.5476,0.7022,0.4487,0.8274,0.6939,0.4978,,all features
Logistic Regression,F0.5-optimal (precision-leaning),f05,0.409,0.6997,0.452,0.5476,0.7022,0.4487,0.8274,0.6939,0.4978,,all features
Logistic Regression,Min-precision>=0.50,min_precision,0.381,0.5,0.5069,0.5187,0.5653,0.4792,0.793,0.6939,0.4978,,all features
Random Forest,F1-optimal (screening),f1,0.445,0.6997,0.452,0.5475,0.702,0.4487,0.8274,0.6922,0.4964,,all features
Random Forest,F0.5-optimal (precision-leaning),f05,0.445,0.6997,0.452,0.5475,0.702,0.4487,0.8274,0.6922,0.4964,,all features
Random Forest,Min-precision>=0.50,min_precision,0.377,0.5,0.5084,0.504,0.4973,0.5108,0.766,0.6922,0.4964,,all features
Hist Gradient Boosting,F1-optimal (screening),f1,0.719,0.6997,0.452,0.5476,0.7022,0.4487,0.8274,0.6938,0.4968,,all features
Hist Gradient Boosting,F0.5-optimal (precision-leaning),f05,0.719,0.6997,0.452,0.5476,0.7022,0.4487,0.8274,0.6938,0.4968,,all features
Hist Gradient Boosting,Min-precision>=0.50,min_precision,0.386,0.5001,0.5098,0.5117,0.532,0.4929,0.7811,0.6938,0.4968,,all features
