Model,Strategy,Mode,Threshold,CV Precision,CV Recall,F1,Precision,Recall,Accuracy,ROC-AUC,Average Precision,Note,Variant
Logistic Regression,F1-optimal (screening),f1,0.882,0.6997,0.452,0.5476,0.7022,0.4487,0.8274,0.695,0.4999,,selected features
Logistic Regression,F0.5-optimal (precision-leaning),f05,0.882,0.6997,0.452,0.5476,0.7022,0.4487,0.8274,0.695,0.4999,,selected features
Logistic Regression,Min-precision>=0.50,min_precision,0.371,0.5,0.5088,0.525,0.5876,0.4745,0.8002,0.695,0.4999,,selected features
Random Forest,F1-optimal (screening),f1,0.687,0.6997,0.452,0.5476,0.7022,0.4487,0.8274,0.6971,0.5001,,selected features
Random Forest,F0.5-optimal (precision-leaning),f05,0.687,0.6997,0.452,0.5476,0.7022,0.4487,0.8274,0.6971,0.5001,,selected features
Random Forest,Min-precision>=0.50,min_precision,0.424,0.5005,0.5072,0.5144,0.5404,0.4909,0.7843,0.6971,0.5001,,selected features
Hist Gradient Boosting,F1-optimal (screening),f1,0.818,0.6997,0.452,0.5476,0.7022,0.4487,0.8274,0.6984,0.5008,,selected features
Hist Gradient Boosting,F0.5-optimal (precision-leaning),f05,0.818,0.6997,0.452,0.5476,0.7022,0.4487,0.8274,0.6984,0.5008,,selected features
Hist Gradient Boosting,Min-precision>=0.50,min_precision,0.394,0.5009,0.5097,0.5181,0.5563,0.4849,0.7901,0.6984,0.5008,,selected features
