Model,Strategy,Mode,Threshold,CV Precision,CV Recall,F1,Precision,Recall,Accuracy,ROC-AUC,Average Precision,Note,Variant
Logistic Regression,F1-optimal (screening),f1,0.882,0.6997,0.452,0.5476,0.7022,0.4487,0.8274,0.695,0.4999,,selected features
Random Forest,F1-optimal (screening),f1,0.687,0.6997,0.452,0.5476,0.7022,0.4487,0.8274,0.6971,0.5001,,selected features
Hist Gradient Boosting,F1-optimal (screening),f1,0.818,0.6997,0.452,0.5476,0.7022,0.4487,0.8274,0.6984,0.5008,,selected features
Logistic Regression,F1-optimal (screening),f1,0.409,0.6997,0.452,0.5476,0.7022,0.4487,0.8274,0.6939,0.4978,,all features
Random Forest,F1-optimal (screening),f1,0.445,0.6997,0.452,0.5475,0.702,0.4487,0.8274,0.6922,0.4964,,all features
Hist Gradient Boosting,F1-optimal (screening),f1,0.719,0.6997,0.452,0.5476,0.7022,0.4487,0.8274,0.6938,0.4968,,all features
Dummy (Majority),most_frequent,naive,,,,0.0,0.0,0.0,0.7673,0.5,0.2327,,
Dummy (Stratified),stratified,naive,,,,0.2384,0.2389,0.2378,0.6463,0.504,0.2342,,
