Model,Strategy,Mode,Threshold,CV Precision,CV Recall,F1,Precision,Recall,Accuracy,ROC-AUC,Average Precision,Note
Dummy (Majority),most_frequent,naive,,,,0.0,0.0,0.0,0.7673,0.5,0.2327,
Dummy (Stratified),stratified,naive,,,,0.2384,0.2389,0.2378,0.6463,0.504,0.2342,
