Group,Value,Test n,Test ROC-AUC,Test Average Precision,Test F1,Test Precision,Test Recall
Ethnicity,Asian,10695,0.7764,0.6278,0.6996,0.7031,0.6962
Ethnicity,African,8468,0.7199,0.5348,0.6022,0.7034,0.5265
Ethnicity,Middle Eastern,4187,0.6083,0.3348,0.3148,0.6892,0.204
Ethnicity,Caucasian,12822,0.5835,0.3361,0.3134,0.706,0.2014
Ethnicity,Hispanic,6364,0.5708,0.3161,0.2867,0.6867,0.1812
