Weight setting,Threshold,Precision,Recall,F1,Accuracy,ROC-AUC,Average Precision
None (1:1),0.238,0.2996,0.7085,0.4211,0.5466,0.6243,0.3291
Mild (1:2),0.385,0.2996,0.7085,0.4211,0.5466,0.6243,0.3291
Moderate (1:3),0.485,0.2996,0.7085,0.4211,0.5466,0.6243,0.3291
Balanced (auto),0.509,0.2996,0.7085,0.4211,0.5466,0.6243,0.329
Strong (1:5),0.611,0.2996,0.7085,0.4211,0.5466,0.6243,0.3291
Aggressive (1:7),0.688,0.2996,0.7085,0.4211,0.5466,0.6243,0.329
