Model,F1,Precision,Recall,Accuracy,ROC-AUC
Logistic Regression,0.4216433587419723,0.2999060792349727,0.7097393412810669,0.546924957682904,0.624773758579313
Random Forest,0.4212992161455987,0.29975639984614727,0.7086280056577087,0.5469954861764152,0.6228628524213724
XGBoost,0.4215959905164911,0.2998761900695897,0.7096383107698525,0.5469014481850668,0.6248031811851434
Dummy (Majority),0.0,0.0,0.0,0.7673,0.5
Dummy (Stratified),0.2385,0.239,0.2379,0.6464,0.5041
