Direction,Outer CV AP mean,Outer CV AP std,Outer CV AP scores,Mean n_features,Features when fit on full training set,Selected features per fold
forward,0.32391,0.00372,"[0.32343, 0.32425, 0.32077, 0.32038, 0.33073]",4.0,"['Family_History', 'Iodine_Deficiency', 'T3_Level', 'Radiation_Exposure']","[['Family_History', 'Iodine_Deficiency', 'T3_Level', 'Radiation_Exposure'], ['Family_History', 'Iodine_Deficiency', 'T3_Level', 'Radiation_Exposure'], ['Family_History', 'Iodine_Deficiency', 'T3_Level', 'Radiation_Exposure'], ['Family_History', 'Iodine_Deficiency', 'TSH_Level', 'Radiation_Exposure'], ['Family_History', 'Iodine_Deficiency', 'TSH_Level', 'Radiation_Exposure']]"
backward,0.3235,0.00299,"[0.32343, 0.32425, 0.32077, 0.32038, 0.32868]",4.0,"['Family_History', 'Radiation_Exposure', 'Iodine_Deficiency', 'T3_Level']","[['Family_History', 'Radiation_Exposure', 'Iodine_Deficiency', 'T3_Level'], ['Family_History', 'Radiation_Exposure', 'Iodine_Deficiency', 'T3_Level'], ['Family_History', 'Radiation_Exposure', 'Iodine_Deficiency', 'T3_Level'], ['Family_History', 'Radiation_Exposure', 'Iodine_Deficiency', 'TSH_Level'], ['Family_History', 'Radiation_Exposure', 'Iodine_Deficiency', 'Nodule_Size']]"
