Model,Strategy,Mode,Threshold,CV Precision,CV Recall,F1,Precision,Recall,Accuracy,ROC-AUC,Average Precision,Note,Variant
Logistic Regression,F1-optimal (screening),f1,0.507,0.2985,0.7091,0.4216,0.2999,0.7097,0.5469,0.624,0.3286,,selected features
Logistic Regression,F0.5-optimal (precision-leaning),f05,0.554,0.3266,0.4498,0.3789,0.3245,0.4551,0.6528,0.624,0.3286,,selected features
Logistic Regression,Min-precision>=0.50,min_precision,0.793,0.5,0.0014,0.0,0.0,0.0,0.7673,0.624,0.3286,,selected features
Random Forest,F1-optimal (screening),f1,0.41,0.2979,0.7104,0.4214,0.2994,0.7107,0.5457,0.6244,0.3257,,selected features
Random Forest,F0.5-optimal (precision-leaning),f05,0.556,0.3237,0.4455,0.3766,0.324,0.4496,0.6536,0.6244,0.3257,,selected features
Random Forest,Min-precision>=0.50,min_precision,0.773,0.5,0.0033,0.0056,0.5957,0.0028,0.7675,0.6244,0.3257,,selected features
XGBoost,F1-optimal (screening),f1,0.469,0.2983,0.7096,0.4216,0.2999,0.7095,0.547,0.6244,0.3276,,selected features
XGBoost,F0.5-optimal (precision-leaning),f05,0.557,0.3261,0.447,0.3743,0.3232,0.4446,0.6541,0.6244,0.3276,,selected features
XGBoost,Min-precision>=0.50,min_precision,0.754,0.5021,0.003,0.003,0.5769,0.0015,0.7674,0.6244,0.3276,,selected features
