Model,Strategy,Mode,Threshold,CV Precision,CV Recall,F1,Precision,Recall,Accuracy,ROC-AUC,Average Precision,Note
Dummy (Majority),most_frequent,naive,,,,0.0,0.0,0.0,0.7673,0.5,0.2327,
Dummy (Stratified),stratified,naive,,,,0.2385,0.239,0.2379,0.6464,0.5041,0.2342,
