Mode,Class weight,Precision,Recall,F1
fixed_0.5,None (1:1),0.4946695095948827,0.023439078601737724,0.04475740329892929
fixed_0.5,Mild (1:2),0.38740792704314275,0.22317639927258032,0.2832051282051282
fixed_0.5,Moderate (1:3),0.3245443411857935,0.4551424530208123,0.3789057571807057
fixed_0.5,Balanced (auto),0.2999060792349727,0.7097393412810669,0.4216433587419723
fixed_0.5,Strong (1:5),0.2999060792349727,0.7097393412810669,0.4216433587419723
fixed_0.5,Aggressive (1:7),0.23269700959187511,1.0,0.37754129000267
f1_tuned,None (1:1),0.2999060792349727,0.7097393412810669,0.4216433587419723
f1_tuned,Mild (1:2),0.2999060792349727,0.7097393412810669,0.4216433587419723
f1_tuned,Moderate (1:3),0.2999060792349727,0.7097393412810669,0.4216433587419723
f1_tuned,Balanced (auto),0.2999060792349727,0.7097393412810669,0.4216433587419723
f1_tuned,Strong (1:5),0.2999060792349727,0.7097393412810669,0.4216433587419723
f1_tuned,Aggressive (1:7),0.2999060792349727,0.7097393412810669,0.4216433587419723
