Model,Strategy,Mode,Threshold,CV Precision,CV Recall,F1,Precision,Recall,Accuracy,ROC-AUC,Average Precision,Note,Variant
Logistic Regression,F1-optimal (screening),f1,0.399,0.2983,0.7099,0.4216,0.2999,0.7097,0.5469,0.6245,0.3272,,all features
Logistic Regression,F0.5-optimal (precision-leaning),f05,0.548,0.3261,0.4513,0.3785,0.325,0.453,0.6538,0.6245,0.3272,,all features
Logistic Regression,Min-precision>=0.50,min_precision,0.798,0.5,0.0004,0.0,0.0,0.0,0.7673,0.6245,0.3272,,all features
Random Forest,F1-optimal (screening),f1,0.456,0.2985,0.7093,0.4215,0.2999,0.7089,0.5471,0.6245,0.3274,,all features
Random Forest,F0.5-optimal (precision-leaning),f05,0.549,0.3259,0.4448,0.3766,0.3259,0.4459,0.6564,0.6245,0.3274,,all features
Random Forest,Min-precision>=0.50,min_precision,0.735,0.5,0.0002,0.0002,0.5,0.0001,0.7673,0.6245,0.3274,,all features
XGBoost,F1-optimal (screening),f1,0.49,0.2984,0.7095,0.4216,0.3,0.7093,0.5472,0.6248,0.3294,,all features
XGBoost,F0.5-optimal (precision-leaning),f05,0.55,0.3234,0.4645,0.3815,0.3239,0.464,0.6498,0.6248,0.3294,,all features
XGBoost,Min-precision>=0.50,min_precision,0.742,0.5,0.0007,0.0012,0.75,0.0006,0.7674,0.6248,0.3294,,all features
