Model,Strategy,Mode,Threshold,CV Precision,CV Recall,F1,Precision,Recall,Accuracy,ROC-AUC,Average Precision,Note,Variant
Logistic Regression,F1-optimal (screening),f1,0.399,0.2983,0.7099,0.4216,0.2999,0.7097,0.5469,0.6245,0.3272,,all features
Random Forest,F1-optimal (screening),f1,0.456,0.2985,0.7093,0.4215,0.2999,0.7089,0.5471,0.6245,0.3274,,all features
XGBoost,F1-optimal (screening),f1,0.49,0.2984,0.7095,0.4216,0.3,0.7093,0.5472,0.6248,0.3294,,all features
