Feature,Chi2,p_value,dof,Cramers_V,Min_expected,Interpretation,p_adj,Significant_raw,Significant_FDR
Thyroid_Cancer_Risk,45936.30164793246,0.0,2,0.4647471441259631,7423.637103978785,medium,0.0,True,True
Family_History,4221.050419364994,0.0,1,0.1408798842256306,14851.230254187081,small,0.0,True,True
Iodine_Deficiency,2086.548464944286,0.0,1,0.09904965211368338,12336.813812430059,negligible,0.0,True,True
Radiation_Exposure,1686.0851171705333,0.0,1,0.08903862889349336,7413.863342705875,negligible,0.0,True,True
Diabetes,2.204542003296674,0.13760475695586527,1,0.0032195702458554898,9911.292056536173,negligible,0.22016761112938443,False,False
Gender,0.4464839355499378,0.5040094239667398,1,0.0014489107512950855,19816.300980825472,negligible,0.6591784235546602,False,False
Obesity,0.31146740388888,0.5767811206103276,1,0.0012101661966428122,14866.356313299919,negligible,0.6591784235546602,False,False
Smoking,0.13778456717906223,0.7104934615067149,1,0.0008048945826119803,9873.593263054947,negligible,0.7104934615067149,False,False
